buying,maint,doors,persons,lug_boot,safety,class
muy alto,alto,2,2,medio,bajo,unacc
muy alto,alto,2,2,medio,medio,unacc
muy alto,alto,2,2,medio,alto,unacc
muy alto,alto,2,2,grande,bajo,unacc
muy alto,alto,2,2,grande,medio,unacc
muy alto,alto,2,2,grande,alto,unacc
muy alto,alto,2,4,pequeño,bajo,unacc
muy alto,alto,2,4,pequeño,medio,unacc
muy alto,alto,2,4,pequeño,alto,unacc
muy alto,alto,2,4,medio,bajo,unacc
muy alto,alto,2,4,medio,medio,unacc
muy alto,alto,2,4,medio,alto,unacc
muy alto,alto,2,4,grande,bajo,unacc
muy alto,alto,2,4,grande,medio,unacc
muy alto,alto,2,4,grande,alto,unacc
muy alto,alto,2,more,pequeño,bajo,unacc
muy alto,alto,2,more,pequeño,medio,unacc
muy alto,alto,2,more,pequeño,alto,unacc
muy alto,alto,2,more,medio,bajo,unacc
muy alto,alto,2,more,medio,medio,unacc
muy alto,alto,2,more,medio,alto,unacc
muy alto,alto,2,more,grande,bajo,unacc
muy alto,alto,2,more,grande,medio,unacc
muy alto,alto,2,more,grande,alto,unacc
muy alto,alto,3,2,pequeño,bajo,unacc
muy alto,alto,3,2,pequeño,medio,unacc
muy alto,alto,3,2,pequeño,alto,unacc
muy alto,alto,3,2,medio,bajo,unacc
muy alto,alto,3,2,medio,medio,unacc
muy alto,alto,3,2,medio,alto,unacc
muy alto,alto,3,2,grande,bajo,unacc
muy alto,alto,3,2,grande,medio,unacc
muy alto,alto,3,2,grande,alto,unacc
muy alto,alto,3,4,pequeño,bajo,unacc
muy alto,alto,3,4,pequeño,medio,unacc
muy alto,alto,3,4,pequeño,alto,unacc
muy alto,alto,3,4,medio,bajo,unacc
muy alto,alto,3,4,medio,medio,unacc
muy alto,alto,3,4,medio,alto,unacc
muy alto,alto,3,4,grande,bajo,unacc
muy alto,alto,3,4,grande,medio,unacc
muy alto,alto,3,4,grande,alto,unacc
muy alto,alto,3,more,pequeño,bajo,unacc
muy alto,alto,3,more,pequeño,medio,unacc
muy alto,alto,3,more,pequeño,alto,unacc
muy alto,alto,3,more,medio,bajo,unacc
muy alto,alto,3,more,medio,medio,unacc
muy alto,alto,3,more,medio,alto,unacc
muy alto,alto,3,more,grande,bajo,unacc
muy alto,alto,3,more,grande,medio,unacc
muy alto,alto,3,more,grande,alto,unacc
muy alto,alto,4,2,pequeño,bajo,unacc
muy alto,alto,4,2,pequeño,medio,unacc
muy alto,alto,4,2,pequeño,alto,unacc
muy alto,alto,4,2,medio,bajo,unacc
muy alto,alto,4,2,medio,medio,unacc
muy alto,alto,4,2,medio,alto,unacc
muy alto,alto,4,2,grande,bajo,unacc
muy alto,alto,4,2,grande,medio,unacc
muy alto,alto,4,2,grande,alto,unacc
muy alto,alto,4,4,pequeño,bajo,unacc
muy alto,alto,4,4,pequeño,medio,unacc
muy alto,alto,4,4,pequeño,alto,unacc
muy alto,alto,4,4,medio,bajo,unacc
muy alto,alto,4,4,medio,medio,unacc
muy alto,alto,4,4,medio,alto,unacc
muy alto,alto,4,4,grande,bajo,unacc
muy alto,alto,4,4,grande,medio,unacc
muy alto,alto,4,4,grande,alto,unacc
muy alto,alto,4,more,pequeño,bajo,unacc
muy alto,alto,4,more,pequeño,medio,unacc
muy alto,alto,4,more,pequeño,alto,unacc
muy alto,alto,4,more,medio,bajo,unacc
muy alto,alto,4,more,medio,medio,unacc
muy alto,alto,4,more,medio,alto,unacc
muy alto,alto,4,more,grande,bajo,unacc
muy alto,alto,4,more,grande,medio,unacc
muy alto,alto,4,more,grande,alto,unacc
muy alto,alto,5more,2,pequeño,bajo,unacc
muy alto,alto,5more,2,pequeño,medio,unacc
muy alto,alto,5more,2,pequeño,alto,unacc
muy alto,alto,5more,2,medio,bajo,unacc
muy alto,alto,5more,2,medio,medio,unacc
muy alto,alto,5more,2,medio,alto,unacc
muy alto,alto,5more,2,grande,bajo,unacc
muy alto,alto,5more,2,grande,medio,unacc
muy alto,alto,5more,2,grande,alto,unacc
muy alto,alto,5more,4,pequeño,bajo,unacc
muy alto,alto,5more,4,pequeño,medio,unacc
muy alto,alto,5more,4,pequeño,alto,unacc
muy alto,alto,5more,4,medio,bajo,unacc
muy alto,alto,5more,4,medio,medio,unacc
muy alto,alto,5more,4,medio,alto,unacc
muy alto,alto,5more,4,grande,bajo,unacc
muy alto,alto,5more,4,grande,medio,unacc
muy alto,alto,5more,4,grande,alto,unacc
muy alto,alto,5more,more,pequeño,bajo,unacc
muy alto,alto,5more,more,pequeño,medio,unacc
muy alto,alto,5more,more,pequeño,alto,unacc
muy alto,alto,5more,more,medio,bajo,unacc
muy alto,alto,5more,more,medio,medio,unacc
muy alto,alto,5more,more,medio,alto,unacc
muy alto,alto,5more,more,grande,bajo,unacc
muy alto,alto,5more,more,grande,medio,unacc
muy alto,alto,5more,more,grande,alto,unacc
muy alto,medio,2,2,pequeño,bajo,unacc
muy alto,medio,2,2,pequeño,medio,unacc
muy alto,medio,2,2,pequeño,alto,unacc
muy alto,medio,2,2,medio,bajo,unacc
muy alto,medio,2,2,medio,medio,unacc
muy alto,medio,2,2,medio,alto,unacc
muy alto,medio,2,2,grande,bajo,unacc
muy alto,medio,2,2,grande,medio,unacc
muy alto,medio,2,2,grande,alto,unacc
muy alto,medio,2,4,pequeño,bajo,unacc
muy alto,medio,2,4,pequeño,medio,unacc
muy alto,medio,2,4,pequeño,alto,acc
muy alto,medio,2,4,medio,bajo,unacc
muy alto,medio,2,4,medio,medio,unacc
muy alto,medio,2,4,medio,alto,acc
muy alto,medio,2,4,grande,bajo,unacc
muy alto,medio,2,4,grande,medio,acc
muy alto,medio,2,4,grande,alto,acc
muy alto,medio,2,more,pequeño,bajo,unacc
muy alto,medio,2,more,pequeño,medio,unacc
muy alto,medio,2,more,pequeño,alto,unacc
muy alto,medio,2,more,medio,bajo,unacc
muy alto,medio,2,more,medio,medio,unacc
muy alto,medio,2,more,medio,alto,acc
muy alto,medio,2,more,grande,bajo,unacc
muy alto,medio,2,more,grande,medio,acc
muy alto,medio,2,more,grande,alto,acc
muy alto,medio,3,2,pequeño,bajo,unacc
muy alto,medio,3,2,pequeño,medio,unacc
muy alto,medio,3,2,pequeño,alto,unacc
muy alto,medio,3,2,medio,bajo,unacc
muy alto,medio,3,2,medio,medio,unacc
muy alto,medio,3,2,medio,alto,unacc
muy alto,medio,3,2,grande,bajo,unacc
muy alto,medio,3,2,grande,medio,unacc
muy alto,medio,3,2,grande,alto,unacc
muy alto,medio,3,4,pequeño,bajo,unacc
muy alto,medio,3,4,pequeño,medio,unacc
muy alto,medio,3,4,pequeño,alto,acc
muy alto,medio,3,4,medio,bajo,unacc
muy alto,medio,3,4,medio,medio,unacc
muy alto,medio,3,4,medio,alto,acc
muy alto,medio,3,4,grande,bajo,unacc
muy alto,medio,3,4,grande,medio,acc
muy alto,medio,3,4,grande,alto,acc
muy alto,medio,3,more,pequeño,bajo,unacc
muy alto,medio,3,more,pequeño,medio,unacc
muy alto,medio,3,more,pequeño,alto,acc
muy alto,medio,3,more,medio,bajo,unacc
muy alto,medio,3,more,medio,medio,acc
muy alto,medio,3,more,medio,alto,acc
muy alto,medio,3,more,grande,bajo,unacc
muy alto,medio,3,more,grande,medio,acc
muy alto,medio,3,more,grande,alto,acc
muy alto,medio,4,2,pequeño,bajo,unacc
muy alto,medio,4,2,pequeño,medio,unacc
muy alto,medio,4,2,pequeño,alto,unacc
muy alto,medio,4,2,medio,bajo,unacc
muy alto,medio,4,2,medio,medio,unacc
muy alto,medio,4,2,medio,alto,unacc
muy alto,medio,4,2,grande,bajo,unacc
muy alto,medio,4,2,grande,medio,unacc
muy alto,medio,4,2,grande,alto,unacc
muy alto,medio,4,4,pequeño,bajo,unacc
muy alto,medio,4,4,pequeño,medio,unacc
muy alto,medio,4,4,pequeño,alto,acc
muy alto,medio,4,4,medio,bajo,unacc
muy alto,medio,4,4,medio,medio,acc
muy alto,medio,4,4,medio,alto,acc
muy alto,medio,4,4,grande,bajo,unacc
muy alto,medio,4,4,grande,medio,acc
muy alto,medio,4,4,grande,alto,acc
muy alto,medio,4,more,pequeño,bajo,unacc
muy alto,medio,4,more,pequeño,medio,unacc
muy alto,medio,4,more,pequeño,alto,acc
muy alto,medio,4,more,medio,bajo,unacc
muy alto,medio,4,more,medio,medio,acc
muy alto,medio,4,more,medio,alto,acc
muy alto,medio,4,more,grande,bajo,unacc
muy alto,medio,4,more,grande,medio,acc
muy alto,medio,4,more,grande,alto,acc
muy alto,medio,5more,2,pequeño,bajo,unacc
muy alto,medio,5more,2,pequeño,medio,unacc
muy alto,medio,5more,2,pequeño,alto,unacc
muy alto,medio,5more,2,medio,bajo,unacc
muy alto,medio,5more,2,medio,medio,unacc
muy alto,medio,5more,2,medio,alto,unacc
muy alto,medio,5more,2,grande,bajo,unacc
muy alto,medio,5more,2,grande,medio,unacc
muy alto,medio,5more,2,grande,alto,unacc
muy alto,medio,5more,4,pequeño,bajo,unacc
muy alto,medio,5more,4,pequeño,medio,unacc
muy alto,medio,5more,4,pequeño,alto,acc
muy alto,medio,5more,4,medio,bajo,unacc
muy alto,medio,5more,4,medio,medio,acc
muy alto,medio,5more,4,medio,alto,acc
muy alto,medio,5more,4,grande,bajo,unacc
muy alto,medio,5more,4,grande,medio,acc
muy alto,medio,5more,4,grande,alto,acc
muy alto,medio,5more,more,pequeño,bajo,unacc
muy alto,medio,5more,more,pequeño,medio,unacc
muy alto,medio,5more,more,pequeño,alto,acc
muy alto,medio,5more,more,medio,bajo,unacc
muy alto,medio,5more,more,medio,medio,acc
muy alto,medio,5more,more,medio,alto,acc
muy alto,medio,5more,more,grande,bajo,unacc
muy alto,medio,5more,more,grande,medio,acc
muy alto,medio,5more,more,grande,alto,acc
muy alto,bajo,2,2,pequeño,bajo,unacc
muy alto,bajo,2,2,pequeño,medio,unacc
muy alto,bajo,2,2,pequeño,alto,unacc
muy alto,bajo,2,2,medio,bajo,unacc
muy alto,bajo,2,2,medio,medio,unacc
muy alto,bajo,2,2,medio,alto,unacc
muy alto,bajo,2,2,grande,bajo,unacc
muy alto,bajo,2,2,grande,medio,unacc
muy alto,bajo,2,2,grande,alto,unacc
muy alto,bajo,2,4,pequeño,bajo,unacc
muy alto,bajo,2,4,pequeño,medio,unacc
muy alto,bajo,2,4,pequeño,alto,acc
muy alto,bajo,2,4,medio,bajo,unacc
muy alto,bajo,2,4,medio,medio,unacc
muy alto,bajo,2,4,medio,alto,acc
muy alto,bajo,2,4,grande,bajo,unacc
muy alto,bajo,2,4,grande,medio,acc
muy alto,bajo,2,4,grande,alto,acc
muy alto,bajo,2,more,pequeño,bajo,unacc
muy alto,bajo,2,more,pequeño,medio,unacc
muy alto,bajo,2,more,pequeño,alto,unacc
muy alto,bajo,2,more,medio,bajo,unacc
muy alto,bajo,2,more,medio,medio,unacc
muy alto,bajo,2,more,medio,alto,acc
muy alto,bajo,2,more,grande,bajo,unacc
muy alto,bajo,2,more,grande,medio,acc
muy alto,bajo,2,more,grande,alto,acc
muy alto,bajo,3,2,pequeño,bajo,unacc
muy alto,bajo,3,2,pequeño,medio,unacc
muy alto,bajo,3,2,pequeño,alto,unacc
muy alto,bajo,3,2,medio,bajo,unacc
muy alto,bajo,3,2,medio,medio,unacc
muy alto,bajo,3,2,medio,alto,unacc
muy alto,bajo,3,2,grande,bajo,unacc
muy alto,bajo,3,2,grande,medio,unacc
muy alto,bajo,3,2,grande,alto,unacc
muy alto,bajo,3,4,pequeño,bajo,unacc
muy alto,bajo,3,4,pequeño,medio,unacc
muy alto,bajo,3,4,pequeño,alto,acc
muy alto,bajo,3,4,medio,bajo,unacc
muy alto,bajo,3,4,medio,medio,unacc
muy alto,bajo,3,4,medio,alto,acc
muy alto,bajo,3,4,grande,bajo,unacc
muy alto,bajo,3,4,grande,medio,acc
muy alto,bajo,3,4,grande,alto,acc
muy alto,bajo,3,more,pequeño,bajo,unacc
muy alto,bajo,3,more,pequeño,medio,unacc
muy alto,bajo,3,more,pequeño,alto,acc
muy alto,bajo,3,more,medio,bajo,unacc
muy alto,bajo,3,more,medio,medio,acc
muy alto,bajo,3,more,medio,alto,acc
muy alto,bajo,3,more,grande,bajo,unacc
muy alto,bajo,3,more,grande,medio,acc
muy alto,bajo,3,more,grande,alto,acc
muy alto,bajo,4,2,pequeño,bajo,unacc
muy alto,bajo,4,2,pequeño,medio,unacc
muy alto,bajo,4,2,pequeño,alto,unacc
muy alto,bajo,4,2,medio,bajo,unacc
muy alto,bajo,4,2,medio,medio,unacc
muy alto,bajo,4,2,medio,alto,unacc
muy alto,bajo,4,2,grande,bajo,unacc
muy alto,bajo,4,2,grande,medio,unacc
muy alto,bajo,4,2,grande,alto,unacc
muy alto,bajo,4,4,pequeño,bajo,unacc
muy alto,bajo,4,4,pequeño,medio,unacc
muy alto,bajo,4,4,pequeño,alto,acc
muy alto,bajo,4,4,medio,bajo,unacc
muy alto,bajo,4,4,medio,medio,acc
muy alto,bajo,4,4,medio,alto,acc
muy alto,bajo,4,4,grande,bajo,unacc
muy alto,bajo,4,4,grande,medio,acc
muy alto,bajo,4,4,grande,alto,acc
muy alto,bajo,4,more,pequeño,bajo,unacc
muy alto,bajo,4,more,pequeño,medio,unacc
muy alto,bajo,4,more,pequeño,alto,acc
muy alto,bajo,4,more,medio,bajo,unacc
muy alto,bajo,4,more,medio,medio,acc
muy alto,bajo,4,more,medio,alto,acc
muy alto,bajo,4,more,grande,bajo,unacc
muy alto,bajo,4,more,grande,medio,acc
muy alto,bajo,4,more,grande,alto,acc
muy alto,bajo,5more,2,pequeño,bajo,unacc
muy alto,bajo,5more,2,pequeño,medio,unacc
muy alto,bajo,5more,2,pequeño,alto,unacc
muy alto,bajo,5more,2,medio,bajo,unacc
muy alto,bajo,5more,2,medio,medio,unacc
muy alto,bajo,5more,2,medio,alto,unacc
muy alto,bajo,5more,2,grande,bajo,unacc
muy alto,bajo,5more,2,grande,medio,unacc
muy alto,bajo,5more,2,grande,alto,unacc
muy alto,bajo,5more,4,pequeño,bajo,unacc
muy alto,bajo,5more,4,pequeño,medio,unacc
muy alto,bajo,5more,4,pequeño,alto,acc
muy alto,bajo,5more,4,medio,bajo,unacc
muy alto,bajo,5more,4,medio,medio,acc
muy alto,bajo,5more,4,medio,alto,acc
muy alto,bajo,5more,4,grande,bajo,unacc
muy alto,bajo,5more,4,grande,medio,acc
muy alto,bajo,5more,4,grande,alto,acc
muy alto,bajo,5more,more,pequeño,bajo,unacc
muy alto,bajo,5more,more,pequeño,medio,unacc
muy alto,bajo,5more,more,pequeño,alto,acc
muy alto,bajo,5more,more,medio,bajo,unacc
muy alto,bajo,5more,more,medio,medio,acc
muy alto,bajo,5more,more,medio,alto,acc
muy alto,bajo,5more,more,grande,bajo,unacc
muy alto,bajo,5more,more,grande,medio,acc
muy alto,bajo,5more,more,grande,alto,acc
alto,muy alto,2,2,pequeño,bajo,unacc
alto,muy alto,2,2,pequeño,medio,unacc
alto,muy alto,2,2,pequeño,alto,unacc
alto,muy alto,2,2,medio,bajo,unacc
alto,muy alto,2,2,medio,medio,unacc
alto,muy alto,2,2,medio,alto,unacc
alto,muy alto,2,2,grande,bajo,unacc
alto,muy alto,2,2,grande,medio,unacc
alto,muy alto,2,2,grande,alto,unacc
alto,muy alto,2,4,pequeño,bajo,unacc
alto,muy alto,2,4,pequeño,medio,unacc
alto,muy alto,2,4,pequeño,alto,unacc
alto,muy alto,2,4,medio,bajo,unacc
alto,muy alto,2,4,medio,medio,unacc
alto,muy alto,2,4,medio,alto,unacc
alto,muy alto,2,4,grande,bajo,unacc
alto,muy alto,2,4,grande,medio,unacc
alto,muy alto,2,4,grande,alto,unacc
alto,muy alto,2,more,pequeño,bajo,unacc
alto,muy alto,2,more,pequeño,medio,unacc
alto,muy alto,2,more,pequeño,alto,unacc
alto,muy alto,2,more,medio,bajo,unacc
alto,muy alto,2,more,medio,medio,unacc
alto,muy alto,2,more,medio,alto,unacc
alto,muy alto,2,more,grande,bajo,unacc
alto,muy alto,2,more,grande,medio,unacc
alto,muy alto,2,more,grande,alto,unacc
alto,muy alto,3,2,pequeño,bajo,unacc
alto,muy alto,3,2,pequeño,medio,unacc
alto,muy alto,3,2,pequeño,alto,unacc
alto,muy alto,3,2,medio,bajo,unacc
alto,muy alto,3,2,medio,medio,unacc
alto,muy alto,3,2,medio,alto,unacc
alto,muy alto,3,2,grande,bajo,unacc
alto,muy alto,3,2,grande,medio,unacc
alto,muy alto,3,2,grande,alto,unacc
alto,muy alto,3,4,pequeño,bajo,unacc
alto,muy alto,3,4,pequeño,medio,unacc
alto,muy alto,3,4,pequeño,alto,unacc
alto,muy alto,3,4,medio,bajo,unacc
alto,muy alto,3,4,medio,medio,unacc
alto,muy alto,3,4,medio,alto,unacc
alto,muy alto,3,4,grande,bajo,unacc
alto,muy alto,3,4,grande,medio,unacc
alto,muy alto,3,4,grande,alto,unacc
alto,muy alto,3,more,pequeño,bajo,unacc
alto,muy alto,3,more,pequeño,medio,unacc
alto,muy alto,3,more,pequeño,alto,unacc
alto,muy alto,3,more,medio,bajo,unacc
alto,muy alto,3,more,medio,medio,unacc
alto,muy alto,3,more,medio,alto,unacc
alto,muy alto,3,more,grande,bajo,unacc
alto,muy alto,3,more,grande,medio,unacc
alto,muy alto,3,more,grande,alto,unacc
alto,muy alto,4,2,pequeño,bajo,unacc
alto,muy alto,4,2,pequeño,medio,unacc
alto,muy alto,4,2,pequeño,alto,unacc
alto,muy alto,4,2,medio,bajo,unacc
alto,muy alto,4,2,medio,medio,unacc
alto,muy alto,4,2,medio,alto,unacc
alto,muy alto,4,2,grande,bajo,unacc
alto,muy alto,4,2,grande,medio,unacc
alto,muy alto,4,2,grande,alto,unacc
alto,muy alto,4,4,pequeño,bajo,unacc
alto,muy alto,4,4,pequeño,medio,unacc
alto,muy alto,4,4,pequeño,alto,unacc
alto,muy alto,4,4,medio,bajo,unacc
alto,muy alto,4,4,medio,medio,unacc
alto,muy alto,4,4,medio,alto,unacc
alto,muy alto,4,4,grande,bajo,unacc
alto,muy alto,4,4,grande,medio,unacc
alto,muy alto,4,4,grande,alto,unacc
alto,muy alto,4,more,pequeño,bajo,unacc
alto,muy alto,4,more,pequeño,medio,unacc
alto,muy alto,4,more,pequeño,alto,unacc
alto,muy alto,4,more,medio,bajo,unacc
alto,muy alto,4,more,medio,medio,unacc
alto,muy alto,4,more,medio,alto,unacc
alto,muy alto,4,more,grande,bajo,unacc
alto,muy alto,4,more,grande,medio,unacc
alto,muy alto,4,more,grande,alto,unacc
alto,muy alto,5more,2,pequeño,bajo,unacc
alto,muy alto,5more,2,pequeño,medio,unacc
alto,muy alto,5more,2,pequeño,alto,unacc
alto,muy alto,5more,2,medio,bajo,unacc
alto,muy alto,5more,2,medio,medio,unacc
alto,muy alto,5more,2,medio,alto,unacc
alto,muy alto,5more,2,grande,bajo,unacc
alto,muy alto,5more,2,grande,medio,unacc
alto,muy alto,5more,2,grande,alto,unacc
alto,muy alto,5more,4,pequeño,bajo,unacc
alto,muy alto,5more,4,pequeño,medio,unacc
alto,muy alto,5more,4,pequeño,alto,unacc
alto,muy alto,5more,4,medio,bajo,unacc
alto,muy alto,5more,4,medio,medio,unacc
alto,muy alto,5more,4,medio,alto,unacc
alto,muy alto,5more,4,grande,bajo,unacc
alto,muy alto,5more,4,grande,medio,unacc
alto,muy alto,5more,4,grande,alto,unacc
alto,muy alto,5more,more,pequeño,bajo,unacc
alto,muy alto,5more,more,pequeño,medio,unacc
alto,muy alto,5more,more,pequeño,alto,unacc
alto,muy alto,5more,more,medio,bajo,unacc
alto,muy alto,5more,more,medio,medio,unacc
alto,muy alto,5more,more,medio,alto,unacc
alto,muy alto,5more,more,grande,bajo,unacc
alto,muy alto,5more,more,grande,medio,unacc
alto,muy alto,5more,more,grande,alto,unacc
alto,alto,2,2,pequeño,bajo,unacc
alto,alto,2,2,pequeño,medio,unacc
alto,alto,2,2,pequeño,alto,unacc
alto,alto,2,2,medio,bajo,unacc
alto,alto,2,2,medio,medio,unacc
alto,alto,2,2,medio,alto,unacc
alto,alto,2,2,grande,bajo,unacc
alto,alto,2,2,grande,medio,unacc
alto,alto,2,2,grande,alto,unacc
alto,alto,2,4,pequeño,bajo,unacc
alto,alto,2,4,pequeño,medio,unacc
alto,alto,2,4,pequeño,alto,acc
alto,alto,2,4,medio,bajo,unacc
alto,alto,2,4,medio,medio,unacc
alto,alto,2,4,medio,alto,acc
alto,alto,2,4,grande,bajo,unacc
alto,alto,2,4,grande,medio,acc
alto,alto,2,4,grande,alto,acc
alto,alto,2,more,pequeño,bajo,unacc
alto,alto,2,more,pequeño,medio,unacc
alto,alto,2,more,pequeño,alto,unacc
alto,alto,2,more,medio,bajo,unacc
alto,alto,2,more,medio,medio,unacc
alto,alto,2,more,medio,alto,acc
alto,alto,2,more,grande,bajo,unacc
alto,alto,2,more,grande,medio,acc
alto,alto,2,more,grande,alto,acc
alto,alto,3,2,pequeño,bajo,unacc
alto,alto,3,2,pequeño,medio,unacc
alto,alto,3,2,pequeño,alto,unacc
alto,alto,3,2,medio,bajo,unacc
alto,alto,3,2,medio,medio,unacc
alto,alto,3,2,medio,alto,unacc
alto,alto,3,2,grande,bajo,unacc
alto,alto,3,2,grande,medio,unacc
alto,alto,3,2,grande,alto,unacc
alto,alto,3,4,pequeño,bajo,unacc
alto,alto,3,4,pequeño,medio,unacc
alto,alto,3,4,pequeño,alto,acc
alto,alto,3,4,medio,bajo,unacc
alto,alto,3,4,medio,medio,unacc
alto,alto,3,4,medio,alto,acc
alto,alto,3,4,grande,bajo,unacc
alto,alto,3,4,grande,medio,acc
alto,alto,3,4,grande,alto,acc
alto,alto,3,more,pequeño,bajo,unacc
alto,alto,3,more,pequeño,medio,unacc
alto,alto,3,more,pequeño,alto,acc
alto,alto,3,more,medio,bajo,unacc
alto,alto,3,more,medio,medio,acc
alto,alto,3,more,medio,alto,acc
alto,alto,3,more,grande,bajo,unacc
alto,alto,3,more,grande,medio,acc
alto,alto,3,more,grande,alto,acc
alto,alto,4,2,pequeño,bajo,unacc
